cycle_number,severity,qqq_ath_date,qqq_ath_price,qqq_low_date,qqq_low_price,qqq_recovery_date,qqq_recovery_price,qqq_drawdown_pct,qqq_dd_duration_days,qqq_recovery_duration_days,qqq_total_duration_days,qqq_dd_change_pct,qqq_recovery_change_pct,tqqq_ath_price,tqqq_low_price,tqqq_recovery_price,tqqq_drawdown_pct,tqqq_dd_change_pct,tqqq_recovery_change_pct
1,Mild,3/18/1999,44.5647,3/23/1999,41.3851,3/29/1999,45.4663,-7.134795028,5,6,11,-7.134795028,9.861520209,,,,,,
2,Moderate,4/9/1999,47.3124,4/19/1999,41.9901,4/26/1999,47.9763,-11.2492708,10,7,17,-11.2492708,14.25621754,,,,,,
3,Moderate,4/26/1999,47.9763,5/25/1999,42.2562,6/21/1999,48.0828,-11.92276186,29,27,56,-11.92276186,13.78874579,,,,,,
4,Moderate,7/16/1999,52.0386,8/10/1999,45.8959,8/25/1999,52.1423,-11.80412232,25,15,40,-11.80412232,13.6099303,,,,,,
5,Mild,9/20/1999,53.8065,9/29/1999,50.4909,10/8/1999,54.057,-6.162080789,9,9,18,-6.162080789,7.062856871,,,,,,
6,Mild,10/11/1999,54.8169,10/18/1999,50.1191,10/29/1999,55.7448,-8.569984804,7,11,18,-8.569984804,11.22466285,,,,,,
7,Mild,11/26/1999,65.8669,11/30/1999,62.3184,12/3/1999,67.0799,-5.387379701,4,3,7,-5.387379701,7.640600529,,,,,,
8,Moderate,1/3/2000,80.3374,1/6/2000,67.911,1/19/2000,81.3889,-15.4677647,3,13,16,-15.4677647,19.84641663,,,,,,
9,Moderate,1/21/2000,81.6044,1/28/2000,72.9132,2/3/2000,81.8195,-10.65040611,7,6,13,-10.65040611,12.21493502,,,,,,
10,Moderate,3/9/2000,97.491,3/15/2000,87.2214,3/23/2000,98.3624,-10.53389544,6,8,14,-10.53389544,12.77324143,,,,,,
11,Severe,3/27/2000,99.8201,10/9/2002,17.0068,2/20/2015,100.05,-82.96254963,926,4517,5443,-82.96254963,488.2940941,,,4.629,,,
12,Moderate,7/20/2015,105.685,8/25/2015,90.9632,10/28/2015,105.963,-13.92988598,36,64,100,-13.92988598,16.48996517,5.2975,3.3248,5.063,-37.23831996,-37.23831996,52.27983638
13,Moderate,12/1/2015,107.04,2/9/2016,89.8112,7/27/2016,107.444,-16.09566517,70,169,239,-16.09566517,19.63318606,5.1905,2.9382,4.823,-43.39273673,-43.39273673,64.1481179
14,Moderate,1/26/2018,162.635,2/8/2018,146.017,3/9/2018,164.752,-10.21797276,13,29,42,-10.21797276,12.8306978,15.135,10.812,15.28,-28.5629336,-28.5629336,41.32445431
15,Moderate,3/12/2018,165.615,4/2/2018,148.186,6/4/2018,166.115,-10.52380521,21,63,84,-10.52380521,12.09898371,15.508,10.906,14.967,-29.67500645,-29.67500645,37.23638364
16,Severe,8/29/2018,178.349,12/24/2018,137.686,4/12/2019,178.631,-22.79967928,117,109,226,-22.79967928,29.73795448,18.088,7.582,15.612,-58.08270677,-58.08270677,105.9087312
17,Moderate,5/3/2019,183.69,6/3/2019,163.526,7/3/2019,184.416,-10.97718983,31,30,61,-10.97718983,12.77472695,16.886,11.748,16.607,-30.42757314,-30.42757314,41.36023153
18,Mild,7/26/2019,188.132,8/5/2019,174.103,10/25/2019,188.837,-7.456998278,10,81,91,-7.456998278,8.4628065,17.511,13.805,16.949,-21.16383987,-21.16383987,22.77435712
19,Severe,2/19/2020,229.255,3/16/2020,163.79,6/3/2020,229.482,-28.55553859,26,79,105,-28.55553859,40.10745467,29.515,9.3125,21.655,-68.44824665,-68.44824665,132.5369128
20,Moderate,9/2/2020,294.055,9/23/2020,256.94,12/1/2020,295.172,-12.62178844,21,69,90,-12.62178844,14.87973846,43.632,28.198,41.058,-35.37312065,-35.37312065,45.60607135
21,Moderate,2/12/2021,327.845,3/8/2021,292.27,4/9/2021,328.903,-10.85116442,24,32,56,-10.85116442,12.53395833,55.055,38.3,53.635,-30.43320316,-30.43320316,40.03916449
22,Mild,4/16/2021,333.689,5/12/2021,309.17,6/14/2021,336.118,-7.347859834,26,33,59,-7.347859834,8.716240256,55.905,44.125,56.14,-21.07146051,-21.07146051,27.22946176
23,Mild,9/7/2021,373.234,10/4/2021,344.815,10/28/2021,375.714,-7.614258079,27,24,51,-7.614258079,8.961037078,76.035,59.52,76.45,-21.72026041,-21.72026041,28.44422043
24,Mild,11/19/2021,395.055,12/20/2021,372.735,12/27/2021,395.055,-5.649846224,31,7,38,-5.649846224,5.988168538,88.57,73.145,86.695,-17.41560348,-17.41560348,18.5248479
25,Severe,12/27/2021,395.055,11/3/2022,256.313,12/13/2023,399.958,-35.11966688,311,405,716,-35.11966688,56.04280704,86.695,17.15,48.74,-80.21800565,-80.21800565,184.1982507
26,Mild,3/22/2024,443.67,4/19/2024,412.132,5/15/2024,450.15,-7.108436451,28,26,54,-7.108436451,9.224714412,62.63,49.46,63.47,-21.02826122,-21.02826122,28.32591994
27,Moderate,7/10/2024,500.7,8/7/2024,432.816,11/6/2024,504.015,-13.55781905,28,91,119,-13.55781905,16.45017744,84.93,53.19,78.86,-37.37195337,-37.37195337,48.26095131
28,Mild,12/16/2024,536.504,1/14/2025,504.328,2/14/2025,537.349,-5.997345779,29,31,60,-5.997345779,6.547524627,93.29,75.76,89.83,-18.79086719,-18.79086719,18.5718057
29,Severe,2/19/2025,538.717,4/8/2025,416.06,6/24/2025,539.78,-22.76835518,48,77,125,-22.76835518,29.73609576,90.4,38.9,78.1,-56.96902655,-56.96902655,100.7712082
