Date,Open,High,Low,Close,Volume
2010-02-11,0.40585,0.4338,0.4046,0.4314,3462564
2010-02-12,0.4198,0.43695,0.4173,0.4333,8618888
2010-02-16,0.4434,0.4511,0.43655,0.45005,9639368
2010-02-17,0.4561,0.4578,0.4492,0.4578,19223656
2010-02-18,0.4572,0.46915,0.4544,0.4663,38961980
2010-02-19,0.46325,0.4725,0.4596,0.4663,46595000
2010-02-22,0.47185,0.47185,0.4578,0.463,25564232
2010-02-23,0.4605,0.463,0.4388,0.4451,41217736
2010-02-24,0.45285,0.46365,0.45035,0.45845,35397816
2010-02-25,0.4438,0.4614,0.4349,0.45815,45725620
2010-02-26,0.4569,0.4658,0.45235,0.464,28872452
2010-03-01,0.4698,0.4858,0.4698,0.4838,14261160
2010-03-02,0.4881,0.49725,0.48545,0.4867,24281432
2010-03-03,0.49225,0.4964,0.48475,0.4894,24036404
2010-03-04,0.4912,0.4956,0.4835,0.4948,14774672
2010-03-05,0.5054,0.5191,0.5027,0.5168,13464340
2010-03-08,0.5172,0.5232,0.5172,0.5195,12700052
2010-03-09,0.5167,0.5368,0.5162,0.5287,23265360
2010-03-10,0.5295,0.5448,0.529,0.5416,20076688
2010-03-11,0.5382,0.5473,0.5347,0.5466,27023356
2010-03-12,0.5526,0.5526,0.5416,0.5478,18101360
2010-03-15,0.5442,0.548,0.5326,0.5442,21235372
2010-03-16,0.5495,0.5561,0.5438,0.5544,23353900
2010-03-17,0.5561,0.5662,0.5537,0.5584,19945812
2010-03-18,0.5602,0.5657,0.5565,0.564,26251564
2010-03-19,0.5702,0.5702,0.548,0.554,20058600
2010-03-22,0.5476,0.5756,0.5453,0.569,29468904
2010-03-23,0.5728,0.5821,0.564,0.5809,27717228
2010-03-24,0.5768,0.578,0.569,0.5726,44717044
2010-03-25,0.5866,0.5927,0.5686,0.569,47073300
2010-03-26,0.5771,0.5829,0.5629,0.572,42242252
2010-03-29,0.5806,0.5858,0.5755,0.5799,19066016
2010-03-30,0.5846,0.591,0.574,0.5859,19991024
2010-03-31,0.5794,0.5871,0.574,0.578,29837300
2010-04-01,0.5844,0.5956,0.564,0.5769,58442956
2010-04-05,0.581,0.5971,0.5768,0.5936,33861276
2010-04-06,0.589,0.6035,0.5853,0.5981,29436968
2010-04-07,0.596,0.6025,0.5844,0.5948,53242380
2010-04-08,0.5888,0.6004,0.5796,0.5969,34908140
2010-04-09,0.5988,0.609,0.5942,0.6076,29110148
2010-04-12,0.6096,0.6147,0.6056,0.61,24459248
2010-04-13,0.608,0.6202,0.6025,0.6193,33697312
2010-04-14,0.628,0.6414,0.6267,0.641,30622200
