cycle_number,qqq_ath_date,qqq_ath_price,qqq_low_date,qqq_low_price,qqq_recovery_date,qqq_recovery_price,qqq_drawdown_pct,qqq_dd_duration_days,qqq_recovery_duration_days,qqq_total_duration_days,qqq_dd_change_pct,qqq_recovery_change_pct,tqqq_ath_price,tqqq_low_price,tqqq_recovery_price,tqqq_drawdown_pct,tqqq_dd_change_pct,tqqq_recovery_change_pct
1,1999-04-09,47.3124,1999-04-19,41.9901,1999-04-26,47.9763,-11.249270804271182,10,7,17,-11.249270804271182,14.256217536990873,,,,,,
2,1999-04-26,47.9763,1999-05-25,42.2562,1999-06-21,48.0828,-11.92276186367019,29,27,56,-11.92276186367019,13.788745793516687,,,,,,
3,1999-07-16,52.0386,1999-08-10,45.8959,1999-08-25,52.1423,-11.804122324582146,25,15,40,-11.804122324582146,13.609930298784862,,,,,,
4,2000-01-03,80.3374,2000-01-06,67.911,2000-01-19,81.3889,-15.467764702367765,3,13,16,-15.467764702367765,19.846416633535075,,,,,,
5,2000-01-21,81.6044,2000-01-28,72.9132,2000-02-03,81.8195,-10.650406105553126,7,6,13,-10.650406105553126,12.214935018624887,,,,,,
6,2000-03-09,97.491,2000-03-15,87.2214,2000-03-23,98.3624,-10.533895436501828,6,8,14,-10.533895436501828,12.773241429282253,,,,,,
7,2000-03-27,99.8201,2002-10-09,17.0068,2015-02-20,100.05,-82.96254962677858,926,4517,5443,-82.96254962677858,488.2940941270551,,,4.629,,,
8,2015-07-20,105.685,2015-08-25,90.9632,2015-10-28,105.963,-13.929885981927429,36,64,100,-13.929885981927429,16.489965172729185,5.2975,3.3248,5.063,-37.238319962246344,-37.238319962246344,52.279836381135695
9,2015-12-01,107.04,2016-02-09,89.8112,2016-07-27,107.444,-16.09566517189836,70,169,239,-16.09566517189836,19.633186061426642,5.1905,2.9382,4.823,-43.39273673056546,-43.39273673056546,64.14811789531007
10,2018-01-26,162.635,2018-02-08,146.017,2018-03-09,164.752,-10.217972761090783,13,29,42,-10.217972761090783,12.830697795462182,15.135,10.812,15.28,-28.56293359762141,-28.56293359762141,41.3244543100259
11,2018-03-12,165.615,2018-04-02,148.186,2018-06-04,166.115,-10.523805210880658,21,63,84,-10.523805210880658,12.098983709662182,15.508,10.906,14.967,-29.675006448284748,-29.675006448284748,37.2363836420319
12,2018-08-29,178.349,2018-12-24,137.686,2019-04-12,178.631,-22.799679280511796,117,109,226,-22.799679280511796,29.73795447612683,18.088,7.582,15.612,-58.08270676691729,-58.08270676691729,105.90873120548669
13,2019-05-03,183.69,2019-06-03,163.526,2019-07-03,184.416,-10.977189830693009,31,30,61,-10.977189830693009,12.77472695473502,16.886,11.748,16.607,-30.427573137510365,-30.427573137510365,41.36023152877086
14,2020-02-19,229.255,2020-03-16,163.79,2020-06-03,229.482,-28.555538592397113,26,79,105,-28.555538592397113,40.10745466756213,29.515,9.3125,21.655,-68.4482466542436,-68.4482466542436,132.53691275167787
15,2020-09-02,294.055,2020-09-23,256.94,2020-12-01,295.172,-12.621788440937923,21,69,90,-12.621788440937923,14.879738460340947,43.632,28.198,41.058,-35.37312064539787,-35.37312064539787,45.60607135257819
16,2021-02-12,327.845,2021-03-08,292.27,2021-04-09,328.903,-10.85116442221173,24,32,56,-10.85116442221173,12.533958326205235,55.055,38.3,53.635,-30.43320316047589,-30.43320316047589,40.03916449086162
17,2021-12-27,395.055,2022-11-03,256.313,2023-12-13,399.958,-35.11966688182658,311,405,716,-35.11966688182658,56.04280703670904,86.695,17.15,48.74,-80.21800565199838,-80.21800565199838,184.198250728863
18,2024-07-10,500.7,2024-08-07,432.816,2024-11-06,504.015,-13.557819053325348,28,91,119,-13.557819053325348,16.45017744260841,84.93,53.19,78.86,-37.37195337336631,-37.37195337336631,48.26095130663659
19,2025-02-19,538.717,2025-04-08,416.06,2025-06-24,539.78,-22.768355184633116,48,77,125,-22.768355184633116,29.736095755419882,90.4,38.9,78.1,-56.96902654867257,-56.96902654867257,100.77120822622108
